Sample,Type,Pluton,Grid reference,Easting,Northing,SiO2,TiO2,Al2O3,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,LOI,Total,Ba,Pb,Rb,Sr,Nb,Th,U,Zr,La,Ce,Pr,Nd,Sm,Eu,Gd,Dy,Ho,Er,Tm,Yb,Lu,A/CNK,TZr,Eu/Eu*,K/Rb,Rb/Sr
,,,,,,%,%,%,%,%,%,%,%,%,%,%,%,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,,,,,
DT04,G4b,Dartmoor,SX65405756,265400,57560,74.3,0.16,13.29,1.05,0,0.21,0.76,3.43,4.52,0.21,0.99,98.92,125,8,436,54,26,14,2.5,63,9.4,19.67,2.45,8.58,1.88,0.12,1.54,1.35,0.23,0.61,0.09,0.59,0.09,1.12,726,0.22,86,8.07
DT07,G3a,Dartmoor,SX54067536,254060,75360,73.02,0.28,13.12,2.49,0.06,0.38,0.73,3,4.84,0.18,0.86,98.96,116,29,449,54,15,20,2.5,166,17.76,39.11,4.9,17.86,3.68,0.26,2.83,2.26,0.41,1.13,0.16,1.1,0.18,1.14,809,0.25,89,8.31
DT08,G3a,Dartmoor,SX55937335,255930,73350,74.57,0.17,13.07,1.85,0.06,0.23,0.34,2.86,5.06,0.2,0.84,99.25,9,25,602,19,14,13,13,101,9.85,21.99,2.88,10.63,2.38,0.07,1.72,1.2,0.19,0.49,0.07,0.45,0.08,1.21,776,0.11,70,31.68
DT11,G3a,Dartmoor,SX55557215,255550,72150,72.35,0.27,13.79,2.25,0.06,0.38,0.67,3.05,4.96,0.2,0.93,98.91,206,35,462,60,16,21,11,149,18.08,42.3,4.97,18.22,3.86,0.24,2.9,2.07,0.34,0.81,0.11,0.68,0.11,1.19,803,0.22,89,7.7
DT16,G3c,Dartmoor,SX75947746,275940,77460,73.59,0.23,13.4,1.82,0.04,0.35,0.47,3.11,5.05,0.19,0.9,99.15,161,28,362,52,12,15,8,103,10.96,21.52,2.85,10.47,2.24,0.11,1.62,1.31,0.23,0.66,0.1,0.69,0.11,1.17,773,0.18,116,6.96
DT17,G3a,Dartmoor,SX73277537,273270,75370,71.27,0.32,14.19,2.32,0.03,0.54,0.97,3.09,5.21,0.15,0.97,99.06,322,30,358,126,16,20,2.5,153,22.63,46.05,5.51,20.33,3.92,0.37,2.62,1.82,0.3,0.84,0.12,0.78,0.12,1.14,797,0.35,121,2.84
DT19,G3a,Dartmoor,SX75127691,275120,76910,71.43,0.32,13.94,2.23,0.04,0.57,1.16,3.06,4.64,0.16,1.21,98.76,269,29,321,110,16,20,2.5,154,17.8,31.27,4.38,16.35,3.28,0.36,2.21,1.53,0.26,0.72,0.1,0.71,0.12,1.15,796,0.4,120,2.92
DT20,G3a,Dartmoor,SX75127691,275120,76910,71.41,0.32,14.37,2.37,0.04,0.6,1.24,3.12,4.93,0.17,0.77,99.34,278,26,351,112,16,21,2.5,156,19.83,41.5,4.84,18.14,3.56,0.36,2.38,1.59,0.26,0.73,0.1,0.71,0.12,1.13,795,0.38,117,3.13
DT21,G2,Dartmoor,sx57235844,257230,58440,72.89,0.2,14.56,0.65,0.0005,0.34,0.03,0.36,9.65,0.04,1.21,99.93,591,7,898,98,11,9,2.5,78,4.21,6.8,1.21,5.1,1.36,0.24,1.26,1.01,0.18,0.44,0.07,0.52,0.07,1.31,762,0.56,89,9.16
DT25,G3a,Dartmoor,SX61479264,261470,82640,70.42,0.45,14.35,3.3,0.05,0.58,0.81,2.87,4.8,0.24,1.48,99.35,178,30,532,80,21,26,2.5,233,21.19,40.34,5.57,20.34,4.13,0.33,3.2,2.66,0.49,1.36,0.2,1.31,0.2,1.26,847,0.28,75,6.65
OT05,G5b,Meldon,SX57069265,257060,92650,71.98,0.03,15.92,0.55,0.14,0.02,0.72,3.58,4.03,0.36,1.97,99.3,18,12,2080,55,69,3,5,14,0.43,0.36,0.37,0.37,0.31,0.08,0.28,0.34,0.32,0.32,0.28,0.3,0.33,1.38,634,0.82,16,37.82
